Name,Author,User Rating,Reviews,Price,Year,Genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction
Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction
Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction
Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction
Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction
Gone Girl,Gillian Flynn,4,57271,10,2012,Fiction
Gone Girl,Gillian Flynn,4,57271,10,2013,Fiction
Gone Girl,Gillian Flynn,4,57271,9,2014,Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction
If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction
Inferno,Dan Brown,4.1,29651,14,2013,Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦,Jennifer Smith,4.4,7396,13,2019,Non Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦,Jennifer Smith,4.4,7396,13,2018,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction
Life,Keith Richards,4.5,2752,18,2010,Non Fiction
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Non Fiction
